740c|je 0x3f8013fb6
4c8dbc24c00300|lea 0x3c0(%rsp),%r15
e807ecffff|callq 0x3f5fb6e00
e9b7feffff|jmpq 0x3f7211124
f20f1005096606|movsd 0x66609(%rip),%xmm0 
0f84dc000000|je 0x100464e5e
488d8e98220000|lea 0x2298(%rsi),%rcx
4088700a|mov %sil,0xa(%rax)
488b15114b1800|mov 0x184b11(%rip),%rdx 
488d0dce412c00|lea 0x2c41ce(%rip),%rcx 
488d0daa310800|lea 0x831aa(%rip),%rcx 
88515a|mov %dl,0x5a(%rcx)
c783b400000025|movl $0x25,0xb4(%rbx)
48c7c3e0ffffff|mov $0xffffffffffffffe0,%rbx
488d0d017c0300|lea 0x37c01(%rip),%rcx 
66890598119c00|mov %ax,0x9c1198(%rip) 
eb17|jmp 0x3f272e53e
e8f51e0b00|callq 0x1004ddc60
e82f96a8ff|callq 0x3fbc5fe90
488d0dfb6a0700|lea 0x76afb(%rip),%rcx 
81f9d0d70100|cmp $0x1d7d0,%ecx
db3d9f780000|fstpt 0x789f(%rip) 
413b4704|cmp 0x4(%r15),%eax
4c8b350c390500|mov 0x5390c(%rip),%r14 
488b86c0020000|mov 0x2c0(%rsi),%rax
ba35070000|mov $0x735,%edx
488b0d46732400|mov 0x247346(%rip),%rcx 
80a424b9040000|andb $0xfe,0x4b9(%rsp)
488b0d8d020500|mov 0x5028d(%rip),%rcx 
488d05f21b2100|lea 0x211bf2(%rip),%rax 
488d0dec220200|lea 0x222ec(%rip),%rcx 
488d1526a80400|lea 0x4a826(%rip),%rdx 
488b5668|mov 0x68(%rsi),%rdx
488d15cff3bf00|lea 0xbff3cf(%rip),%rdx 
e84521f2ff|callq 0x3ff2a10a0
488d2de33f0b00|lea 0xb3fe3(%rip),%rbp 
488d0dbca90e00|lea 0xea9bc(%rip),%rcx 
e9a9f3ffff|jmpq 0x3f5593613
488d05b9e70b00|lea 0xbe7b9(%rip),%rax 
488d15f3ed5400|lea 0x54edf3(%rip),%rdx 
c6055374000001|movb $0x1,0x7453(%rip) 
4b8b440d00|mov 0x0(%r13,%r9,1),%rax
0f8510edffff|jne 0x3e63c9ef0
49bb2c20757365|movabs $0x6e2073657375202c,%r11
488905a7c20000|mov %rax,0xc2a7(%rip) 
448b1d1b8f0800|mov 0x88f1b(%rip),%r11d 
e981e9ffff|jmpq 0x100412f39
488d1581ee0100|lea 0x1ee81(%rip),%rdx 
488d05ed4dae00|lea 0xae4ded(%rip),%rax 
488d15eb68ac00|lea 0xac68eb(%rip),%rdx 
4c8d0570260200|lea 0x22670(%rip),%r8 
0f8449050000|je 0x3ff09593a
488d054cab1300|lea 0x13ab4c(%rip),%rax 
2dd8140000|sub $0x14d8,%eax
48890530352600|mov %rax,0x263530(%rip) 
4c8d0d1bd90000|lea 0xd91b(%rip),%r9 
e8da580f00|callq 0x1006c02f0
488b15159f0a00|mov 0xa9f15(%rip),%rdx 
8bac24f8000000|mov 0xf8(%rsp),%ebp
488d1585123000|lea 0x301285(%rip),%rdx 
66440f5705b72d|xorpd 0x1e2db7(%rip),%xmm8 
83ab140f000001|subl $0x1,0xf14(%rbx)
f7c500e00000|test $0xe000,%ebp
488d1560dc0400|lea 0x4dc60(%rip),%rdx 
478d4c0910|lea 0x10(%r9,%r9,1),%r9d
488b3d34a80800|mov 0x8a834(%rip),%rdi 
f0480fb1157d40|lock cmpxchg %rdx,0x3407d(%rip) 
c705a1b7000001|movl $0x1,0xb7a1(%rip) 
488d0dde441200|lea 0x1244de(%rip),%rcx 
4c8b25e34b0301|mov 0x1034be3(%rip),%r12 
0f87b3fdffff|ja 0x1004befbe
488d0527086501|lea 0x1650827(%rip),%rax 
4c8d0578430000|lea 0x4378(%rip),%r8 
488b05f8442000|mov 0x2044f8(%rip),%rax 
e8d7defcff|callq 0x3f9d7ad30
4121ee|and %ebp,%r14d
db3d3caf0000|fstpt 0xaf3c(%rip) 
0f8526010000|jne 0x3fbe2caed
8b351b110d00|mov 0xd111b(%rip),%esi 
4c8d05b2b00d00|lea 0xdb0b2(%rip),%r8 
3df2070000|cmp $0x7f2,%eax
0f8fa6feffff|jg 0x3fb46e230
8b7828|mov 0x28(%rax),%edi
48c705a7a38e00|movq $0x0,0x8ea3a7(%rip) 
e8e5eaffff|callq 0x3fbf12820
488d0d94290200|lea 0x22994(%rip),%rcx 
e9b6fdffff|jmpq 0x3f2abea10
4d8bae60020000|mov 0x260(%r14),%r13
488d05f3d11800|lea 0x18d1f3(%rip),%rax 
488d0dc9290300|lea 0x329c9(%rip),%rcx 
41c74708650000|movl $0x65,0x8(%r15)
4c8bb180000000|mov 0x80(%rcx),%r14
440fb69e050100|movzbl 0x105(%rsi),%r11d
488d151fc71200|lea 0x12c71f(%rip),%rdx 
488d15fadc2200|lea 0x22dcfa(%rip),%rdx 
488b051eda1400|mov 0x14da1e(%rip),%rax 
488b05d9b90d00|mov 0xdb9d9(%rip),%rax 
488d150c020200|lea 0x2020c(%rip),%rdx 
c7054bb18f0000|movl $0x0,0x8fb14b(%rip) 
488b8988010000|mov 0x188(%rcx),%rcx
488b0dcb621400|mov 0x1462cb(%rip),%rcx 
4889ac04b00000|mov %rbp,0xb0(%rsp,%rax,1)
488b1516690300|mov 0x36916(%rip),%rdx 
488d1d3bd09b00|lea 0x9bd03b(%rip),%rbx 
4c8d6c3708|lea 0x8(%rdi,%rsi,1),%r13
4539f8|cmp %r15d,%r8d
4c8b25e9d30d00|mov 0xdd3e9(%rip),%r12 
488b0517d93f00|mov 0x3fd917(%rip),%rax 
48898424301b00|mov %rax,0x1b30(%rsp)
8b0524381400|mov 0x143824(%rip),%eax 
e8afa9ffff|callq 0x1004fb110
498b8fb8090000|mov 0x9b8(%r15),%rcx
48c705440e9e00|movq $0x0,0x9e0e44(%rip) 
80f937|cmp $0x37,%cl
4c8b2db5cb0700|mov 0x7cbb5(%rip),%r13 
81fe00001480|cmp $0x80140000,%esi
488b0505f90500|mov 0x5f905(%rip),%rax 
0f8404020000|je 0x3f7f317b3
488d054aab0300|lea 0x3ab4a(%rip),%rax 
488d155eb70a00|lea 0xab75e(%rip),%rdx 
488d15094f0400|lea 0x44f09(%rip),%rdx 
0f85fa010000|jne 0x10050b170
488b158e351600|mov 0x16358e(%rip),%rdx 
4803fb|add %rbx,%rdi
488d154ff81f00|lea 0x1ff84f(%rip),%rdx 
488d1591f01200|lea 0x12f091(%rip),%rdx 
488d0539ef0900|lea 0x9ef39(%rip),%rax 
4c8d0d1f950600|lea 0x6951f(%rip),%r9 
48c78360070000|movq $0x0,0x760(%rbx)
488d1546982a00|lea 0x2a9846(%rip),%rdx 
4183c123|add $0x23,%r9d
458b8fb8000000|mov 0xb8(%r15),%r9d
c687c607000001|movb $0x1,0x7c6(%rdi)
488d1558f1a800|lea 0xa8f158(%rip),%rdx 
e9c4f0ffff|jmpq 0x1005a7653
77c7|ja 0x3fe2e177b
ebbe|jmp 0x3fb73759e
488d059cc80c00|lea 0xcc89c(%rip),%rax 
488d93f82d0000|lea 0x2df8(%rbx),%rdx
4a891400|mov %rdx,(%rax,%r8,1)
4c8b05f92a0400|mov 0x42af9(%rip),%r8 
4c8d05c2aa2e00|lea 0x2eaac2(%rip),%r8 
41807c14012f|cmpb $0x2f,0x1(%r12,%rdx,1)
488d15e3461000|lea 0x1046e3(%rip),%rdx 
488d15945e0500|lea 0x55e94(%rip),%rdx 
488d052a641300|lea 0x13642a(%rip),%rax 
e99ffdffff|jmpq 3e748957c 
f20f10055abe13|movsd 0x13be5a(%rip),%xmm0 
e976fbffff|jmpq 0x3ff15ef9d
7741|ja 0x1400153af
6681fe2d04|cmp $0x42d,%si
ebbe|jmp 0x3f6e244da
ebc0|jmp 0x3fa139d1e
83414404|addl $0x4,0x44(%rcx)
48c7058c129c00|movq $0x0,0x9c128c(%rip) 
488d0595be0b00|lea 0xbbe95(%rip),%rax 
880d2ab80000|mov %cl,0xb82a(%rip) 
4531fb|xor %r15d,%r11d
e89a20a6ff|callq 0x3fbc5bf50
0f8445ffffff|je 0x3f5d28757
7433|je 0x10046de65
488d15d5270200|lea 0x227d5(%rip),%rdx 
488b35ad464a00|mov 0x4a46ad(%rip),%rsi 
488b154c400800|mov 0x8404c(%rip),%rdx 
4c8d0d9c390100|lea 0x1399c(%rip),%r9 
66443982fefdff|cmp %r8w,-0x202(%rdx)
e819270000|callq 0x3f4da0880
c743101b000000|movl $0x1b,0x10(%rbx)
4c8d056cb30600|lea 0x6b36c(%rip),%r8 
488b9370080000|mov 0x870(%rbx),%rdx
488d15e4cfea00|lea 0xeacfe4(%rip),%rdx 
0f84bdfdffff|je 0x3f7200f85
488d15d8849f00|lea 0x9f84d8(%rip),%rdx 
488b0525411700|mov 0x174125(%rip),%rax 
7792|ja 0x10041c255
e8f052ffff|callq 0x3f4afd550
488d0db6873400|lea 0x3487b6(%rip),%rcx 
83e5bf|and $0xffffffbf,%ebp
44886e01|mov %r13b,0x1(%rsi)
488d0d1e080600|lea 0x6081e(%rip),%rcx 
488d0d56490100|lea 0x14956(%rip),%rcx 
488b05190d0700|mov 0x70d19(%rip),%rax 
0fb68310020000|movzbl 0x210(%rbx),%eax
db2d4b330200|fldt 0x2334b(%rip) 
c6865c01000002|movb $0x2,0x15c(%rsi)
83b98000000006|cmpl $0x6,0x80(%rcx)
e8608b0000|callq 0x3e5b788b0
488d0569a10000|lea 0xa169(%rip),%rax 
488d1537500000|lea 0x5037(%rip),%rdx 
488d05fafa0100|lea 0x1fafa(%rip),%rax 
4c8b2d79570600|mov 0x65779(%rip),%r13 
488d150a4c0400|lea 0x44c0a(%rip),%rdx 
4c8b05596c0500|mov 0x56c59(%rip),%r8 
4863153dc70100|movslq 0x1c73d(%rip),%rdx 
488b3ded470400|mov 0x447ed(%rip),%rdi 
e8b79cffff|callq 0x3f4578330
41b89d030000|mov $0x39d,%r8d
488d05090d9b00|lea 0x9b0d09(%rip),%rax 
488d1597883000|lea 0x308897(%rip),%rdx 
7588|jne 0x3e6360370
8b3536fb0400|mov 0x4fb36(%rip),%esi 
e8049d0d00|callq 0x3e8201b58
488d051d8baa00|lea 0xaa8b1d(%rip),%rax 
4c8d05d9550800|lea 0x855d9(%rip),%r8 
488d0dfd1b0a00|lea 0xa1bfd(%rip),%rcx 
48890554440100|mov %rax,0x14454(%rip) 
ebc3|jmp 0x3e7d11c7c
e9fbfbffff|jmpq 0x3fe8e834e
e859072200|callq 0x100654428
e959ebffff|jmpq 0x3fa22dc58
0f84fcf5ffff|je 0x1004b1a07
0f8435feffff|je 0x3e52bafed
4c8b9db0010000|mov 0x1b0(%rbp),%r11
81ea05610000|sub $0x6105,%edx
48635d08|movslq 0x8(%rbp),%rbx
69dbabaaaaaa|imul $0xaaaaaaab,%ebx,%ebx
8b6b20|mov 0x20(%rbx),%ebp
4b8b0cc3|mov (%r11,%r8,8),%rcx
0f8412010000|je 0x3f5f24f90
c7056f7d9f0000|movl $0x0,0x9f7d6f(%rip) 
e8bafeffff|callq 0x3f36dcc20
803dfe88000000|cmpb $0x0,0x88fe(%rip) 
488d0d29512600|lea 0x265129(%rip),%rcx 
488d0d60620000|lea 0x6260(%rip),%rcx 
488d15564bffff|lea -0xb4aa(%rip),%rdx 
0fb65401ff|movzbl -0x1(%rcx,%rax,1),%edx
75ca|jne 0x3f37b626c
e922feffff|jmpq 0x3fbd4e9f0
488d1502e00a00|lea 0xae002(%rip),%rdx 
c605be059f0001|movb $0x1,0x9f05be(%rip) 
488d0d27cc0300|lea 0x3cc27(%rip),%rcx 
488d15cc370e00|lea 0xe37cc(%rip),%rdx 
e957ffffff|jmpq 0x3fb75b0ff
4c8d058a641500|lea 0x15648a(%rip),%r8 
0f85f0020000|jne 0x100455c0c
4c8d05951a1100|lea 0x111a95(%rip),%r8 
488b05af7f1700|mov 0x177faf(%rip),%rax 
7405|je 0x3fc82fcc7
488d2df7d30c01|lea 0x10cd3f7(%rip),%rbp 
e89b9a0700|callq 0x3f265ee30
488b4d00|mov 0x0(%rbp),%rcx
757f|jne 0x1004828a1
4881c418210000|add $0x2118,%rsp
488d3583930a00|lea 0xa9383(%rip),%rsi 
e91bffffff|jmpq 0x3fdfe8310
f20f112db54f02|movsd %xmm5,0x24fb5(%rip) 
66891dfe129d00|mov %bx,0x9d12fe(%rip) 
488d05a59d0400|lea 0x49da5(%rip),%rax 
488d15657c5a01|lea 0x15a7c65(%rip),%rdx 
e897251200|callq 0x3e886df50
488d0510f0bd00|lea 0xbdf010(%rip),%rax 
0f84b1010000|je 0x3e5c647f4
4c8d05e1121300|lea 0x1312e1(%rip),%r8 
488d0d11740700|lea 0x77411(%rip),%rcx 
488d1d14b91100|lea 0x11b914(%rip),%rbx 
4a8d4490fc|lea -0x4(%rax,%r10,4),%rax
488905ff160800|mov %rax,0x816ff(%rip) 
e8cc0dfeff|callq 0x3f8126b70
e836210200|callq 0x3e53780d0
742b|je 0x3f37bc844
4c8d0563e10d00|lea 0xde163(%rip),%r8 
488d156bd55f01|lea 0x15fd56b(%rip),%rdx 
488d0504eb0a00|lea 0xaeb04(%rip),%rax 
0f8425020000|je 0x3ff037fc2
c6411820|movb $0x20,0x18(%rcx)
488d05bfbc2500|lea 0x25bcbf(%rip),%rax 
0fb64b56|movzbl 0x56(%rbx),%ecx
7411|je 0x3f36d9cf0
4c8b2d4d473800|mov 0x38474d(%rip),%r13 
488b05cc5a1300|mov 0x135acc(%rip),%rax 
488d0d269d0500|lea 0x59d26(%rip),%rcx 
48c705eb1e0400|movq $0x0,0x41eeb(%rip) 
ff25ba6e0d00|jmpq *0xd6eba(%rip) 
7f12|jg 0x3e75db701
488d05a3a60100|lea 0x1a6a3(%rip),%rax 
c6851f06000004|movb $0x4,0x61f(%rbp)
483b5e50|cmp 0x50(%rsi),%rbx
488d15f8f7ffff|lea -0x808(%rip),%rdx 
44884006|mov %r8b,0x6(%rax)
8b8ba8010000|mov 0x1a8(%rbx),%ecx
0f87a1020000|ja 0x1005906f0
c7052dc90d0030|movl $0x30,0xdc92d(%rip) 
48833d0a0b0200|cmpq $0x0,0x20b0a(%rip) 
488d0532061400|lea 0x140632(%rip),%rax 
488d15e17ca000|lea 0xa07ce1(%rip),%rdx 
44030501950300|add 0x39501(%rip),%r8d 
4c8d0537c12c00|lea 0x2cc137(%rip),%r8 
488b05897c0900|mov 0x97c89(%rip),%rax 
4181c3dc0e0000|add $0xedc,%r11d
c783ec0a000000|movl $0x0,0xaec(%rbx)
488905f2e29b00|mov %rax,0x9be2f2(%rip) 
488d15f4100f00|lea 0xf10f4(%rip),%rdx 
e81d3a2d00|callq 0x3f56e3680
488d155d0a0b00|lea 0xb0a5d(%rip),%rdx 
44897718|mov %r14d,0x18(%rdi)
e881fdffff|callq 0x100415660
7559|jne 0x100407570
488b152d3a0700|mov 0x73a2d(%rip),%rdx 
488b05710d0100|mov 0x10d71(%rip),%rax 
488d15281e1300|lea 0x131e28(%rip),%rdx 
0f2805a15e1400|movaps 0x145ea1(%rip),%xmm0 
803d5255ae0100|cmpb $0x0,0x1ae5552(%rip) 
48c705aee28e00|movq $0x0,0x8ee2ae(%rip) 
4c8d1557737a00|lea 0x7a7357(%rip),%r10 
8b05790b6101|mov 0x1610b79(%rip),%eax 
488d0db8b80000|lea 0xb8b8(%rip),%rcx 
8d90ff7f0000|lea 0x7fff(%rax),%edx
4c8d0557880100|lea 0x18857(%rip),%r8 
db2da6260200|fldt 0x226a6(%rip) 
488d8e80030000|lea 0x380(%rsi),%rcx
0f106160|movups 0x60(%rcx),%xmm4
488d153d0b0400|lea 0x40b3d(%rip),%rdx 
c7054f11180001|movl $0x1,0x18114f(%rip) 
803d809f000000|cmpb $0x0,0x9f80(%rip) 
80b94801000000|cmpb $0x0,0x148(%rcx)
7590|jne 0x100413140
498955c4|mov %rdx,-0x3c(%r13)
488d0d2bfa0d00|lea 0xdfa2b(%rip),%rcx 
498904f4|mov %rax,(%r12,%rsi,8)
c7025468756d|movl $0x6d756854,(%rdx)
488b0dcd2d1200|mov 0x122dcd(%rip),%rcx 
488d0d7261af00|lea 0xaf6172(%rip),%rcx 
488d1536498a00|lea 0x8a4936(%rip),%rdx 
488d0d59380a00|lea 0xa3859(%rip),%rcx 
e872f7fcff|callq 0x3f39be790
488d05673e2700|lea 0x273e67(%rip),%rax 
48c70530b10f00|movq $0x0,0xfb130(%rip) 
0f84f2010000|je 0x3fbc67b96
741b|je 0x3f32d1ec0
488d057c76aa00|lea 0xaa767c(%rip),%rax 
488b354fe82b00|mov 0x2be84f(%rip),%rsi 
0f8377010000|jae 0x3e7081270
488b05f8da0800|mov 0x8daf8(%rip),%rax 
0f85befdffff|jne 0x3f724dcee
4c3b5610|cmp 0x10(%rsi),%r10
488d154f750700|lea 0x7754f(%rip),%rdx 
75cd|jne 0x3f3fa0fa0
0f8f69ffffff|jg 0x3e7c7f371
448bb940010000|mov 0x140(%rcx),%r15d
488996d8200000|mov %rdx,0x20d8(%rsi)
488b05c1d91100|mov 0x11d9c1(%rip),%rax 
4831c3|xor %rax,%rbx
4c8d0d50cf0b00|lea 0xbcf50(%rip),%r9 
8b05ec041c00|mov 0x1c04ec(%rip),%eax 
488d0d364c0200|lea 0x24c36(%rip),%rcx 
0f8548010000|jne 0x3f5ba7176
488b1d88562d00|mov 0x2d5688(%rip),%rbx 
e857b2fcff|callq 0x3e7f75e70
eb2f|jmp 0x3fb8536c0
db2d2cac0200|fldt 0x2ac2c(%rip) 
488d0542ef1600|lea 0x16ef42(%rip),%rax 
6641837e2017|cmpw $0x17,0x20(%r14)
488d05e8280700|lea 0x728e8(%rip),%rax 
488b0568891100|mov 0x118968(%rip),%rax 
e9effdffff|jmpq 0x3f2d86ba9
488b05cbd91c00|mov 0x1cd9cb(%rip),%rax 
e93cffffff|jmpq 0x3fb2f31f3
e974f5ffff|jmpq 0x3f758a7ed
488b3d8d550a00|mov 0xa558d(%rip),%rdi 
488d0d63940c00|lea 0xc9463(%rip),%rcx 
4e8d3428|lea (%rax,%r13,1),%r14
74b2|je 0x100416408
8d858a01ffff|lea -0xfe76(%rbp),%eax
488d15dd670c00|lea 0xc67dd(%rip),%rdx 
4c8d05e1121300|lea 0x1312e1(%rip),%r8 
e8e6abf9ff|callq 0x100403570
004f48|add %cl,0x48(%rdi)
488d153bc62a00|lea 0x2ac63b(%rip),%rdx 
e9a7fbffff|jmpq 0x3fa437daa
488d2d18371000|lea 0x103718(%rip),%rbp 
d905d0ec0f00|flds 0xfecd0(%rip) 
488d0d428c0200|lea 0x28c42(%rip),%rcx 
e858c60701|callq 0x3ff077a70
488d1df4c20000|lea 0xc2f4(%rip),%rbx 
49898628100000|mov %rax,0x1028(%r14)
7509|jne 0x3f68091e6
e8e646f300|callq 0x3fced5cb0
488d0dc4a50000|lea 0xa5c4(%rip),%rcx 
b840380000|mov $0x3840,%eax
c684242d010000|movb $0x0,0x12d(%rsp)
e894822a00|callq 0x100719218
498b9738210000|mov 0x2138(%r15),%rdx
488b05b79f0200|mov 0x29fb7(%rip),%rax 
488b0539e72f00|mov 0x2fe739(%rip),%rax 
